DEPTH_m	DHAP_psi	DHAT_degC
30.2393	1532.2340	5.0020
30.3917	1647.0000	6.0000
30.5441	1649.0000	6.0000
30.6965	1650.0000	6.0000
30.8489	1649.0000	6.0000
31.0013	1648.0000	6.0000
31.1537	1649.0000	6.0000
31.3061	1649.0000	6.0000
31.4585	1648.0000	6.0000
31.6109	1648.0020	6.0000
31.7633	1649.0000	6.0000
31.9157	1647.0000	6.0000
32.0681	1647.0000	6.0000
32.2205	1648.0000	6.0000
32.3729	1649.0000	7.0000
32.5253	1647.0040	7.0000
32.6777	1649.0000	7.0000
32.8301	1647.0000	7.0000
32.9825	1647.0000	7.0000
33.1349	1647.0020	7.0000
33.2873	1651.0000	7.0000
33.4397	1651.0000	7.0000
33.5921	1651.0000	7.0000
33.7445	1651.0020	7.0000
33.8969	1652.0000	7.0000
34.0493	1653.0000	7.0000
34.2017	1654.0000	7.0000
34.3541	1654.0020	8.0000
34.5065	1654.0000	8.0000
34.6589	1655.0000	8.0000
34.8113	1656.0000	8.0000
34.9637	1655.0000	8.0000
35.1161	1653.0000	8.0000
35.2685	1653.0000	8.0000
35.4209	1655.0000	8.0000
35.5733	1652.0000	8.0000
35.7257	1655.0000	8.0000
35.8781	1656.0000	8.0000
36.0305	1656.0000	8.0000
36.1829	1656.0000	8.0000
36.3353	1656.0000	8.0000
36.4877	1656.0000	8.0000
36.6401	1656.9960	8.0000
36.7925	1658.0000	8.0000
36.9449	1656.0040	8.0000
37.0973	1655.0000	8.0000
37.2497	1658.0000	8.0000
37.4021	1657.0000	8.0000
37.5545	1657.0000	8.0000
37.7069	1660.0000	8.0000
37.8593	1657.0000	8.0000
38.0117	1658.0000	8.0000
38.1641	1657.0000	8.0000
38.3165	1660.0000	8.0000
38.4689	1656.0000	8.0000
38.6213	1660.0000	8.0000
38.7737	1660.9801	8.0000
38.9261	1661.0000	8.0000
39.0785	1657.0000	8.0000
39.2309	1661.0000	8.0000
39.3833	1661.9960	8.0000
39.5357	1660.0000	8.0000
39.6881	1659.0000	8.0000
39.8405	1660.0000	8.0000
39.9929	1661.0000	8.0000
40.1453	1660.0000	8.0000
40.2977	1662.0000	8.0000
40.4501	1662.0000	8.0000
40.6025	1664.0000	8.0000
40.7549	1662.0000	8.0000
40.9073	1663.0040	8.0000
41.0597	1663.0000	8.0000
41.2121	1664.0000	8.0000
41.3645	1662.0000	8.0000
41.5169	1664.0000	8.0000
41.6693	1664.0000	8.0000
41.8217	1664.0000	8.0000
41.9741	1665.0000	8.0000
42.1265	1667.0000	8.0000
42.2789	1664.0000	8.0000
42.4313	1665.9960	8.0000
42.5837	1663.0000	8.0000
42.7361	1665.0000	8.0000
42.8885	1667.0000	8.0000
43.0409	1666.0000	8.0000
43.1933	1666.0000	8.0000
43.3457	1666.0000	8.0000
43.4981	1666.0000	8.0000
43.6505	1668.0000	8.0000
43.8029	1669.0000	8.0000
43.9553	1669.0000	8.0000
44.1077	1669.0000	8.0000
44.2601	1666.0000	8.0000
44.4125	1667.0000	8.0000
44.5649	1669.0000	8.0000
44.7173	1668.0000	8.0000
44.8697	1669.0000	8.0000
45.0221	1670.0000	8.0000
45.1745	1669.0000	8.0000
45.3269	1671.0000	8.0000
45.4793	1671.0000	8.0000
45.6317	1670.0000	8.0000
45.7841	1670.0000	8.0000
45.9365	1669.0000	8.0000
46.0889	1671.0000	8.0000
46.2413	1674.0000	8.0000
46.3937	1672.0000	8.0000
46.5461	1672.0000	8.0000
46.6985	1672.0000	8.0000
46.8509	1673.0000	8.0000
47.0033	1672.0000	8.0000
47.1557	1672.0000	8.0000
47.3081	1672.0000	8.0000
47.4605	1672.0000	8.0000
47.6129	1672.0000	8.0000
47.7653	1672.0000	8.0000
47.9177	1675.0000	8.0000
48.0701	1672.0079	8.0000
48.2225	1676.0000	8.0000
48.3749	1675.0000	8.0000
48.5273	1673.0000	8.0000
48.6797	1674.0000	8.0000
48.8321	1674.0000	8.0000
48.9845	1674.0000	8.0000
49.1369	1677.0000	8.0000
49.2893	1678.0000	8.0000
49.4417	1675.0000	8.0000
49.5941	1677.0000	8.0000
49.7465	1677.0000	8.0000
49.8989	1679.0000	8.0000
50.0513	1678.0000	8.0000
50.2037	1678.0000	8.0000
50.3561	1678.0000	8.0000
50.5085	1680.0000	8.0000
50.6609	1679.0000	8.0000
50.8133	1676.0000	8.0000
50.9657	1678.0000	8.0000
51.1181	1679.0000	8.0000
51.2705	1679.0000	8.0000
51.4229	1679.0000	8.0000
51.5753	1679.0000	8.0000
51.7277	1681.0000	8.0000
51.8801	1683.0000	8.0000
52.0325	1678.0000	8.0000
52.1849	1681.0000	8.0000
52.3373	1681.0000	8.0000
52.4897	1681.0000	8.0000
52.6421	1682.9880	8.0000
52.7945	1683.0000	8.0000
52.9469	1682.0000	8.0000
53.0993	1681.0000	8.0000
53.2517	1683.0079	8.0000
53.4041	1682.0000	8.0000
53.5565	1684.0000	8.0000
53.7089	1685.0000	8.0000
53.8613	1684.0000	8.0000
54.0137	1683.0000	8.0000
54.1661	1684.0000	8.0000
54.3185	1686.0000	8.0000
54.4709	1685.0000	8.0000
54.6233	1687.0000	8.0000
54.7757	1685.0000	8.0000
54.9281	1687.0000	8.0000
55.0805	1685.0000	8.0000
55.2329	1685.0000	8.0000
55.3853	1684.0000	8.0000
55.5377	1684.0000	8.0000
55.6901	1684.0000	8.0000
55.8425	1687.0000	8.0000
55.9949	1688.0000	8.0000
56.1473	1687.0000	8.0000
56.2997	1688.0000	8.0000
56.4521	1688.0000	8.0000
56.6045	1690.0000	8.0000
56.7569	1689.0000	8.0000
56.9093	1690.0000	8.0000
57.0617	1690.0000	8.0000
57.2141	1690.0000	8.0000
57.3665	1692.0000	8.0000
57.5189	1687.0000	8.0000
57.6713	1689.0000	8.0000
57.8237	1690.0000	8.0000
57.9761	1692.0000	8.0000
58.1285	1692.0000	8.0000
58.2809	1691.0000	8.0000
58.4333	1689.0000	8.0000
58.5857	1692.0000	8.0000
58.7381	1693.0000	8.0000
58.8905	1692.0000	8.0000
59.0429	1693.0000	8.0000
59.1953	1693.0000	8.0000
59.3477	1695.0000	8.0000
59.5001	1692.0000	8.0000
59.6525	1691.0000	8.0000
59.8049	1694.0000	8.0000
59.9573	1691.0000	8.0000
60.1097	1694.0000	8.0000
60.2621	1692.0000	8.0000
60.4145	1694.0040	8.0000
60.5669	1694.0000	8.0000
60.7193	1693.0000	8.0000
60.8717	1695.0000	8.0000
61.0241	1695.0000	8.0000
61.1765	1694.0000	8.0000
61.3289	1695.0000	8.0000
61.4813	1695.0000	8.0000
61.6337	1692.0000	8.0000
61.7861	1695.0000	8.0000
61.9385	1694.0000	8.0000
62.0909	1695.0000	8.0000
62.2433	1699.0000	8.0000
62.3957	1697.0000	8.0000
62.5481	1700.0000	8.0000
62.7005	1699.0000	8.0000
62.8529	1699.0000	8.0000
63.0053	1697.0000	8.0000
63.1577	1699.0000	8.0000
63.3101	1699.0000	8.0000
63.4625	1699.0000	8.0000
63.6149	1698.0000	8.0000
63.7673	1700.0000	8.0000
63.9197	1699.0000	8.0000
64.0721	1699.0000	8.0000
64.2245	1700.0000	8.0000
64.3769	1701.0000	8.0000
64.5293	1701.0000	8.0000
64.6817	1703.0000	8.0000
64.8341	1702.0000	8.0000
64.9865	1702.0000	8.0000
65.1389	1702.0000	8.0000
65.2913	1701.0000	8.0000
65.4437	1701.0000	8.0000
65.5961	1702.0000	8.0000
65.7485	1702.0000	8.0000
65.9009	1702.0000	8.0000
66.0533	1705.0000	8.0000
66.2057	1702.0000	8.0000
66.3581	1703.0000	8.0000
66.5105	1707.0000	8.0000
66.6629	1703.0000	8.0000
66.8153	1706.0000	8.0000
66.9677	1703.0000	8.0000
67.1201	1703.0000	8.0000
67.2725	1706.0000	8.0000
67.4249	1704.0079	8.0000
67.5773	1705.0000	8.0000
67.7297	1705.9960	8.0000
67.8821	1704.0000	8.0000
68.0345	1706.9840	8.0000
68.1869	1703.0000	8.0000
68.3393	1706.0000	8.0000
68.4917	1705.0000	8.0000
68.6441	1706.0000	8.0000
68.7965	1705.0000	8.0000
68.9489	1707.0000	8.0000
69.1013	1706.0000	8.0000
69.2537	1708.0000	8.0000
69.4061	1706.0000	8.0000
69.5585	1706.0000	8.0000
69.7109	1710.0000	8.0000
69.8633	1706.0000	8.0000
70.0157	1706.0000	8.0000
70.1681	1708.0000	8.0000
70.3205	1708.0000	8.0000
70.4729	1710.0000	8.0000
70.6253	1710.0000	8.0000
70.7777	1709.0000	8.0000
70.9301	1708.0000	8.0000
71.0825	1710.0000	8.0000
71.2349	1713.0000	8.0000
71.3873	1709.0040	8.0000
71.5397	1712.0000	8.0000
71.6921	1708.0000	8.0000
71.8445	1709.0000	8.0000
71.9969	1712.0000	8.0000
72.1493	1713.0000	8.0000
72.3017	1713.0000	8.0000
72.4541	1713.0000	8.0000
72.6065	1711.0000	8.0000
72.7589	1711.0000	8.0000
72.9113	1710.0000	8.0000
73.0637	1711.0000	8.0000
73.2161	1711.0000	8.0000
73.3685	1712.0000	8.0000
73.5209	1714.0000	8.0000
73.6733	1714.0000	8.0000
73.8257	1715.0000	8.0000
73.9781	1715.0000	8.0000
74.1305	1715.0000	8.0000
74.2829	1715.0000	8.0000
74.4353	1717.0000	8.0000
74.5877	1717.0000	8.0000
74.7401	1715.0000	8.0000
74.8925	1716.0000	8.0000
75.0449	1716.0000	8.0000
75.1973	1713.0000	8.0000
75.3497	1717.0000	8.0000
75.5021	1719.0000	8.0000
75.6545	1716.0000	8.0000
75.8069	1715.0000	8.0000
75.9593	1716.0000	8.0000
76.1117	1718.0000	8.0000
76.2641	1718.0000	8.0000
76.4165	1716.0000	8.0000
76.5689	1718.0000	8.0000
76.7213	1721.0000	8.0000
76.8737	1719.0000	8.0000
77.0261	1715.0000	8.0000
77.1785	1718.0000	8.0000
77.3309	1718.0000	8.0000
77.4833	1719.0000	8.0000
77.6357	1720.0000	8.0000
77.7881	1718.0000	8.0000
77.9405	1719.0000	8.0000
78.0929	1719.0000	8.0000
78.2453	1721.0000	8.0000
78.3977	1719.0000	8.0000
78.5501	1720.0000	8.0000
78.7025	1720.0000	8.0000
78.8549	1721.0000	8.0000
79.0073	1721.0000	8.0000
79.1597	1722.0000	8.0000
79.3121	1721.0000	8.0000
79.4645	1723.0000	8.0000
79.6169	1723.0000	8.0000
79.7693	1721.0000	8.0000
79.9217	1722.0000	8.0000
80.0741	1722.0000	8.0000
80.2265	1723.0000	8.0000
80.3789	1725.0000	8.0000
80.5313	1724.0000	8.0000
80.6837	1721.0000	8.0000
80.8361	1724.0000	8.0000
80.9885	1726.0000	8.0000
81.1409	1725.0000	8.0000
81.2933	1727.0000	8.0000
81.4457	1724.0000	8.0000
81.5981	1725.0000	8.0000
81.7505	1729.0000	8.0000
81.9029	1726.0000	8.0000
82.0553	1728.0000	8.0000
82.2077	1728.0000	8.0000
82.3601	1726.0000	8.0000
82.5125	1729.0000	8.0000
82.6649	1726.0000	8.0000
82.8173	1726.0000	8.0000
82.9697	1730.9880	8.0000
83.1221	1728.0000	8.0000
83.2745	1727.0000	8.0000
83.4269	1728.0000	8.0000
83.5793	1727.0000	8.0000
83.7317	1729.0000	8.0000
83.8841	1729.0000	8.0000
84.0365	1728.0000	8.0000
84.1889	1729.0000	8.0000
84.3413	1729.0000	8.0000
84.4937	1728.0000	8.0000
84.6461	1731.0000	8.0000
84.7985	1730.0000	8.0000
84.9509	1729.0120	8.0000
85.1033	1729.0000	8.0000
85.2557	1731.0000	8.0000
85.4081	1731.0000	8.0000
85.5605	1730.0000	8.0000
85.7129	1732.0000	8.0000
85.8653	1737.0000	8.0000
86.0177	1734.0000	8.0000
86.1701	1731.0000	8.0000
86.3225	1731.0000	8.0000
86.4749	1736.0000	8.0000
86.6273	1733.0000	8.0000
86.7797	1734.0000	8.0000
86.9321	1734.0000	8.0000
87.0845	1736.0000	8.0000
87.2369	1735.0000	8.0000
87.3893	1734.0000	8.0000
87.5417	1734.0000	8.0000
87.6941	1735.9840	8.0000
87.8465	1733.0000	8.0000
87.9989	1733.0000	8.0000
88.1513	1735.0000	8.0000
88.3037	1735.0000	8.0000
88.4561	1733.0000	8.0000
88.6085	1736.0000	8.0000
88.7609	1736.0000	8.0000
88.9133	1737.0000	8.0000
89.0657	1736.0000	8.0000
89.2181	1735.0000	8.0000
89.3705	1736.0000	8.0000
89.5229	1736.0000	8.0000
89.6753	1740.0000	8.0000
89.8277	1737.0000	8.0000
89.9801	1740.0000	8.0000
90.1325	1738.0000	8.0000
90.2849	1737.0000	8.0000
90.4373	1738.0000	8.0000
90.5897	1740.0000	8.0000
90.7421	1740.0000	8.0000
90.8945	1739.0000	8.0000
91.0469	1740.0000	8.0000
91.1993	1739.0000	8.0000
91.3517	1741.0000	8.0000
91.5041	1740.0000	8.0000
91.6565	1739.0000	8.0000
91.8089	1738.0000	8.0000
91.9613	1739.0000	8.0000
92.1137	1741.0000	8.0000
92.2661	1740.0000	8.0000
92.4185	1741.0000	8.0000
92.5709	1743.0000	8.0000
92.7233	1743.0000	8.0000
92.8757	1744.0000	8.0000
93.0281	1743.0000	8.0000
93.1805	1743.0000	8.0000
93.3329	1741.0000	8.0000
93.4853	1743.0000	8.0000
93.6377	1745.0000	8.0000
93.7901	1744.0000	8.0000
93.9425	1744.0000	8.0000
94.0949	1744.0000	8.0000
94.2473	1743.0000	8.0000
94.3997	1746.0000	8.0000
94.5521	1744.0000	8.0000
94.7045	1744.0000	8.0000
94.8569	1746.0000	8.0000
95.0093	1744.0000	8.0000
95.1617	1747.0000	8.0000
95.3141	1746.0000	8.0000
95.4665	1746.0000	8.0000
95.6189	1746.0000	8.0000
95.7713	1746.9921	8.0000
95.9237	1749.0000	8.0000
96.0761	1747.0000	8.0000
96.2285	1747.0000	8.0000
96.3809	1747.0000	8.0000
96.5333	1749.0000	8.0000
96.6857	1752.0000	8.0000
96.8381	1747.0000	8.0000
96.9905	1749.0000	8.0000
97.1429	1748.0000	8.0000
97.2953	1750.0000	8.0000
97.4477	1750.0000	8.0000
97.6001	1746.0000	8.0000
97.7525	1750.9960	8.0000
97.9049	1748.0000	8.0000
98.0573	1749.0000	8.0000
98.2097	1752.0000	8.0000
98.3621	1750.0000	8.0000
98.5145	1751.0000	8.0000
98.6669	1751.0000	8.0000
98.8193	1752.0000	8.0000
98.9717	1751.0000	8.0000
99.1241	1750.0000	8.0000
99.2765	1754.0000	8.0000
99.4289	1754.0000	8.0000
99.5813	1753.0000	8.0000
99.7337	1752.0000	8.0000
99.8861	1755.0000	8.0000
100.0385	1753.0000	8.0000
100.1909	1753.0000	8.0000
100.3433	1751.0000	8.0000
100.4957	1751.0000	8.0000
100.6481	1753.0000	8.0000
100.8005	1753.0000	8.0000
100.9529	1755.0000	8.0000
101.1053	1752.0000	8.0000
101.2577	1755.0000	8.0000
101.4101	1754.0000	8.0000
101.5625	1754.0000	8.0000
101.7149	1754.0000	8.0000
101.8673	1757.0000	8.0000
102.0197	1756.0000	8.0000
102.1721	1759.0000	8.0000
102.3245	1758.0000	8.0000
102.4769	1754.0000	8.0000
102.6293	1758.0000	8.0000
102.7817	1759.0000	8.0000
102.9341	1756.0000	8.0000
103.0865	1759.0000	8.0000
103.2389	1759.0000	8.0000
103.3913	1758.0000	8.0000
103.5437	1761.0000	8.0000
103.6961	1758.0000	8.0000
103.8485	1760.0000	8.0000
104.0009	1758.0000	8.0000
104.1533	1759.0000	8.0000
104.3057	1759.0000	8.0000
104.4581	1760.0000	8.0000
104.6105	1762.0000	8.0000
104.7629	1760.0000	8.0000
104.9153	1760.0000	8.0000
105.0677	1760.0000	8.0000
105.2201	1762.0000	8.0000
105.3725	1760.0000	8.0000
105.5249	1762.0000	8.0000
105.6773	1762.0000	8.0000
105.8297	1762.0000	8.0000
105.9821	1764.0000	8.0000
106.1345	1762.0000	8.0000
106.2869	1761.0000	8.0000
106.4393	1762.0000	8.0000
106.5917	1762.0000	8.0000
106.7441	1763.0000	8.0000
106.8965	1762.0000	8.0000
107.0489	1764.9921	8.0000
107.2013	1764.0000	8.0000
107.3537	1763.0000	8.0000
107.5061	1767.0000	8.0000
107.6585	1765.0000	8.0000
107.8109	1763.0000	8.0000
107.9633	1764.0000	8.0000
108.1157	1766.0000	8.0000
108.2681	1764.0000	8.0000
108.4205	1766.0000	8.0000
108.5729	1766.0000	8.0000
108.7253	1765.0000	8.0000
108.8777	1767.0040	8.0000
